area,year,variable,response,n,pct
Maine,2018,fsfoods,enough of the kinds of food we want to eat,1009662.2668,76.31849819814676
Maine,2018,fsfoods,often not enough to eat,1224.0621,0.09252458395751324
Maine,2018,fsfoods,sometimes not enough to eat,31437.263000000003,2.3762844056996166
Maryland,2018,fsfoods,enough but not always the kinds of food we want to eat,940216.8889,15.731212431680097
Maryland,2018,fsfoods,enough of the kinds of food we want to eat,4836717.286,80.92539923108929
Maryland,2018,fsfoods,often not enough to eat,50082.0721,0.837946780710949
Maryland,2018,fsfoods,sometimes not enough to eat,149744.241,2.5054415565196733
Massachusetts,2018,fsfoods,enough but not always the kinds of food we want to eat,1022543.6493,14.96467981384251
Massachusetts,2018,fsfoods,enough of the kinds of food we want to eat,5614497.2543,82.1668138898659
Massachusetts,2018,fsfoods,often not enough to eat,16938.3642,0.24788887691667227
Massachusetts,2018,fsfoods,sometimes not enough to eat,179068.0277,2.620617419374922
Michigan,2018,fsfoods,enough but not always the kinds of food we want to eat,1694834.8772,17.2097190201663
Michigan,2018,fsfoods,enough of the kinds of food we want to eat,7761675.2058,78.81372469646591
Michigan,2018,fsfoods,often not enough to eat,53122.9938,0.539422340846808
Michigan,2018,fsfoods,sometimes not enough to eat,338493.2942,3.4371339425209744
Minnesota,2018,fsfoods,enough but not always the kinds of food we want to eat,813248.2331,14.579574482102295
Minnesota,2018,fsfoods,enough of the kinds of food we want to eat,4684315.2693,83.9784466620668
Minnesota,2018,fsfoods,often not enough to eat,14713.289700000001,0.2637737093386604
Minnesota,2018,fsfoods,sometimes not enough to eat,65720.2482,1.1782051464922505
Mississippi,2018,fsfoods,enough but not always the kinds of food we want to eat,718171.7945,24.705480319250338
Mississippi,2018,fsfoods,enough of the kinds of food we want to eat,2010287.2886,69.1549200691234
Mississippi,2018,fsfoods,often not enough to eat,38393.01,1.3207393554242144
Mississippi,2018,fsfoods,sometimes not enough to eat,140081.0457,4.818860256202051
Missouri,2018,fsfoods,enough but not always the kinds of food we want to eat,899865.4189,14.90614840775087
Missouri,2018,fsfoods,enough of the kinds of food we want to eat,4948386.2077,81.96934523943592
Missouri,2018,fsfoods,often not enough to eat,29723.529000000002,0.49236621962614113
Missouri,2018,fsfoods,sometimes not enough to eat,158898.9871,2.632140133187077
Montana,2018,fsfoods,enough but not always the kinds of food we want to eat,206041.4146,19.575915576247176
Montana,2018,fsfoods,enough of the kinds of food we want to eat,815572.8957,77.48726722486133
Montana,2018,fsfoods,often not enough to eat,8262.409,0.7850083021145441
Montana,2018,fsfoods,sometimes not enough to eat,22648.3276,2.1518088967769535
Nebraska,2018,fsfoods,enough but not always the kinds of food we want to eat,381217.8367,20.035156582804227
Nebraska,2018,fsfoods,enough of the kinds of food we want to eat,1482817.7953,77.93047400345851
Nebraska,2018,fsfoods,often not enough to eat,14128.9371,0.7425556726241499
Nebraska,2018,fsfoods,sometimes not enough to eat,24579.9147,1.291813741113104
Nevada,2018,fsfoods,enough but not always the kinds of food we want to eat,664240.4179,22.018969951030645
Nevada,2018,fsfoods,enough of the kinds of food we want to eat,2213857.4804000002,73.3873760511375
Nevada,2018,fsfoods,often not enough to eat,8496.3779,0.28164725396289503
Nevada,2018,fsfoods,sometimes not enough to eat,130079.1621,4.312006743868973
New Hampshire,2018,fsfoods,enough but not always the kinds of food we want to eat,125253.9383,9.366166766381115
New Hampshire,2018,fsfoods,enough of the kinds of food we want to eat,1194851.2966,89.34790120673038
New Hampshire,2018,fsfoods,often not enough to eat,4721.9916,0.35309836477254136
New Hampshire,2018,fsfoods,sometimes not enough to eat,12474.8035,0.9328336621159545
New Jersey,2018,fsfoods,enough but not always the kinds of food we want to eat,1130849.4691,12.643992471892624
New Jersey,2018,fsfoods,enough of the kinds of food we want to eat,7479924.1586,83.63279758793686
New Jersey,2018,fsfoods,often not enough to eat,138704.4253,1.5508498321241266
New Jersey,2018,fsfoods,sometimes not enough to eat,194290.8682,2.1723601080463926
New Mexico,2018,fsfoods,enough but not always the kinds of food we want to eat,428596.5466,20.93599248892992
New Mexico,2018,fsfoods,enough of the kinds of food we want to eat,1534726.559,74.96799488161172
New Mexico,2018,fsfoods,often not enough to eat,28489.2057,1.391634630008891
New Mexico,2018,fsfoods,sometimes not enough to eat,55363.3687,2.704377999449466
New York,2018,fsfoods,enough but not always the kinds of food we want to eat,3177736.3658,16.276896867560605
New York,2018,fsfoods,enough of the kinds of food we want to eat,15536158.035,79.57879853577941
New York,2018,fsfoods,often not enough to eat,119825.7323,0.6137674313444853
New York,2018,fsfoods,sometimes not enough to eat,689266.2915,3.530537165315486
North Carolina,2018,fsfoods,enough but not always the kinds of food we want to eat,1646574.646,16.156885324116814
North Carolina,2018,fsfoods,enough of the kinds of food we want to eat,8017128.8134,78.66745135511853
North Carolina,2018,fsfoods,often not enough to eat,66413.9584,0.6516817882482229
North Carolina,2018,fsfoods,sometimes not enough to eat,461046.3676,4.523981532516446
North Dakota,2018,fsfoods,enough but not always the kinds of food we want to eat,104555.8157,14.215766744395891
North Dakota,2018,fsfoods,enough of the kinds of food we want to eat,610067.4562,82.94686046513391
North Dakota,2018,fsfoods,sometimes not enough to eat,20868.6476,2.8373727904702015
Ohio,2018,fsfoods,enough but not always the kinds of food we want to eat,2274559.329,19.863065816510968
Ohio,2018,fsfoods,enough of the kinds of food we want to eat,8483273.1406,74.08195978130827
Ohio,2018,fsfoods,often not enough to eat,130108.5728,1.1362003671959215
Ohio,2018,fsfoods,sometimes not enough to eat,563258.6365,4.9187740349848355
Oklahoma,2018,fsfoods,enough but not always the kinds of food we want to eat,865873.0126,22.600654001035124
Oklahoma,2018,fsfoods,enough of the kinds of food we want to eat,2734436.2444,71.37310731281973
Oklahoma,2018,fsfoods,often not enough to eat,32155.477,0.8393087662277867
Oklahoma,2018,fsfoods,sometimes not enough to eat,198720.9147,5.186929919917351
Oregon,2018,fsfoods,enough but not always the kinds of food we want to eat,711536.3396,16.99876886785329
Oregon,2018,fsfoods,enough of the kinds of food we want to eat,3361438.7742,80.30555518526026
Oregon,2018,fsfoods,often not enough to eat,10546.7461,0.25196422063645946
Oregon,2018,fsfoods,sometimes not enough to eat,102289.1546,2.443711726249986
Pennsylvania,2018,fsfoods,enough but not always the kinds of food we want to eat,2364531.2636,18.772017600699936
Pennsylvania,2018,fsfoods,enough of the kinds of food we want to eat,9861533.8505,78.29073350023614
Pennsylvania,2018,fsfoods,often not enough to eat,59603.9613,0.47319594704429174
Pennsylvania,2018,fsfoods,sometimes not enough to eat,310373.1503,2.46405295201963
Rhode Island,2018,fsfoods,enough but not always the kinds of food we want to eat,172426.2324,16.46394448854203
Rhode Island,2018,fsfoods,enough of the kinds of food we want to eat,852670.7607,81.41640558845559
Rhode Island,2018,fsfoods,often not enough to eat,3877.1363,0.3702044400623999
Rhode Island,2018,fsfoods,sometimes not enough to eat,18321.8726,1.7494454829399795
South Carolina,2018,fsfoods,enough but not always the kinds of food we want to eat,668877.0822,13.323884098739985
South Carolina,2018,fsfoods,enough of the kinds of food we want to eat,4133843.0126,82.34524197048135
South Carolina,2018,fsfoods,often not enough to eat,57364.6131,1.1426904533782838
South Carolina,2018,fsfoods,sometimes not enough to eat,160051.1417,3.188183477400372
South Dakota,2018,fsfoods,enough but not always the kinds of food we want to eat,138160.5458,16.062396707962204
South Dakota,2018,fsfoods,enough of the kinds of food we want to eat,678611.8399,78.89468386273512
South Dakota,2018,fsfoods,often not enough to eat,6669.202,0.7753542636159372
South Dakota,2018,fsfoods,sometimes not enough to eat,36707.4194,4.267565165686744
Tennessee,2018,fsfoods,enough but not always the kinds of food we want to eat,1135179.5338,16.949797467717406
Tennessee,2018,fsfoods,enough of the kinds of food we want to eat,5291459.8196,79.00879956014626
Tennessee,2018,fsfoods,often not enough to eat,62998.9058,0.9406606287406336
Tennessee,2018,fsfoods,sometimes not enough to eat,207666.1538,3.1007423433957024
Texas,2018,fsfoods,enough but not always the kinds of food we want to eat,5568295.7783,19.638981294547108
