area,fips,date,labor_force,employment,unemployment,unemployment_rate,food_insufficiency_n,food_insufficiency_pct
Indiana,18,2002-12-01,3157956,3005278,152678,4.834709539968258,97208.1898,1.6103024753432575
Iowa,19,2002-12-01,1619440,1552213,67227,4.151249814750778,74541.2448,2.6269421449070474
Kansas,20,2002-12-01,1416693,1352308,64385,4.5447390507329395,118898.7586,4.457176146785792
Kentucky,21,2002-12-01,1944931,1835757,109174,5.613258259547511,128477.8714,3.2081165564159786
Louisiana,22,2002-12-01,1995943,1877167,118776,5.950871342518298,187302.7104,4.465397680858748
Maine,23,2002-12-01,675187,644332,30855,4.569845094766339,18922.9001,1.4882909292006183
Maryland,24,2002-12-01,2861672,2742607,119065,4.160679490871071,149507.0635,2.7916203118043454
Massachusetts,25,2002-12-01,3424529,3244765,179764,5.249305816945921,155799.0108,2.532784844721611
Michigan,26,2002-12-01,4990767,4683931,306836,6.148073031660264,482145.42759999994,4.781508479091304
Minnesota,27,2002-12-01,2846546,2724681,121865,4.281153369733003,111855.3095,2.285700697640223
Mississippi,28,2002-12-01,1297415,1211771,85644,6.601126085331217,127948.0132,4.55837976275268
Missouri,29,2002-12-01,2995090,2840335,154755,5.166956585611785,234026.50660000002,4.21300638803251
Montana,30,2002-12-01,465215,443874,21341,4.587341336801264,30489.3701,3.4463221112464
Nebraska,31,2002-12-01,952594,919084,33510,3.5177630763998096,71093.1764,4.1336378529196605
Nevada,32,2002-12-01,1133782,1073654,60128,5.303312276963296,90517.3337,4.339375386149239
New Hampshire,33,2002-12-01,701240,671559,29681,4.232645028806115,30455.9561,2.4001054713274854
New Jersey,34,2002-12-01,4339939,4097715,242224,5.581276603196496,269595.5686,3.2201233392292026
New Mexico,35,2002-12-01,884854,838718,46136,5.213967501983378,117920.36559999999,6.4511099832025085
New York,36,2002-12-01,9277188,8697278,579910,6.250924310254358,683815.8887,3.741624649531711
North Carolina,37,2002-12-01,4143907,3874137,269770,6.510039921262711,294895.61819999997,3.988797765485173
North Dakota,38,2002-12-01,335359,322739,12620,3.763131450177273,6938.339099999999,1.1569361984652
Ohio,39,2002-12-01,5837059,5507381,329678,5.648015550296819,361462.3246,3.1982177985289013
Oklahoma,40,2002-12-01,1681262,1596724,84538,5.028246638537004,146033.4148,4.476095332196532
Oregon,41,2002-12-01,1826311,1692858,133453,7.307243946950985,115909.5467,3.3977749816708798
