area,fips,date_start,date_end,variable,code,response,n,pct
Plumas County,06063,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,248,1.6
Riverside County,06065,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,170544,9.3
Riverside County,06065,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,29640,1.6
Sacramento County,06067,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,100334,8.5
Sacramento County,06067,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,17438,1.5
San Benito County,06069,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,6160,13.3
San Benito County,06069,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,1071,2.3
San Bernardino County,06071,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,127988,8
San Bernardino County,06071,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,22244,1.4
San Diego County,06073,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,233672,9
San Diego County,06073,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,40612,1.6
San Francisco County,06075,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,70060,9.2
San Francisco County,06075,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,12176,1.6
San Joaquin County,06077,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,58603,10.6
San Joaquin County,06077,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,10185,1.8
San Luis Obispo County,06079,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,18740,8.1
San Luis Obispo County,06079,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,3257,1.4
San Mateo County,06081,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,49422,8.2
San Mateo County,06081,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,8589,1.4
Santa Barbara County,06083,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,29837,8.6
Santa Barbara County,06083,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,5186,1.5
Santa Clara County,06085,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,120056,8
Santa Clara County,06085,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,20865,1.4
Santa Cruz County,06087,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,23377,10.6
Santa Cruz County,06087,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,4063,1.9
Shasta County,06089,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,11342,8
Shasta County,06089,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,1971,1.4
Sierra County,06091,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,177,6.9
Sierra County,06091,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,31,1.2
Siskiyou County,06093,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,2652,7.6
Siskiyou County,06093,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,461,1.3
Solano County,06095,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,30570,8.8
Solano County,06095,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,5313,1.5
Sonoma County,06097,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,36311,9.2
Sonoma County,06097,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,6311,1.6
Stanislaus County,06099,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,41227,10.3
Stanislaus County,06099,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,7165,1.8
Sutter County,06101,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,8340,11.7
Sutter County,06101,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,1449,2
Tehama County,06103,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,3701,7.5
Tehama County,06103,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,643,1.3
Trinity County,06105,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,562,5.5
Trinity County,06105,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,98,1
Tulare County,06107,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,38534,12
Tulare County,06107,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,6697,2.1
Tuolumne County,06109,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,3783,8.3
Tuolumne County,06109,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,657,1.4
Ventura County,06111,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,58000,9
Ventura County,06111,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,10080,1.6
Yolo County,06113,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,11971,6.9
Yolo County,06113,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,2081,1.2
Yuba County,06115,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,4853,8.5
Yuba County,06115,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,843,1.5
Alameda County,06001,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,88610,6.7
Alameda County,06001,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,20449,1.5
Alpine County,06003,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,84,9.4
Alpine County,06003,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,19,2.1
Amador County,06005,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,1618,4.8
Amador County,06005,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,373,1.1
Butte County,06007,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,11503,6.6
Butte County,06007,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,2655,1.5
Calaveras County,06009,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,2153,5.7
Calaveras County,06009,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,497,1.3
Colusa County,06011,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,2331,14.9
Colusa County,06011,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,538,3.4
Contra Costa County,06013,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,61150,6.9
Contra Costa County,06013,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,14112,1.6
Del Norte County,06015,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,977,4.5
Del Norte County,06015,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,225,1
El Dorado County,06017,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,10654,6.9
El Dorado County,06017,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,2459,1.6
Fresno County,06019,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,60241,8.4
Fresno County,06019,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,13902,1.9
Glenn County,06021,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,1443,6.9
Glenn County,06021,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,333,1.6
Humboldt County,06023,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,6777,6.2
Humboldt County,06023,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,1564,1.4
Imperial County,06025,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,15790,12.2
Imperial County,06025,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,3644,2.8
Inyo County,06027,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,882,6.1
Inyo County,06027,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,204,1.4
Kern County,06029,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,54964,8.6
Kern County,06029,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,12684,2
Kings County,06031,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,7727,6.9
Kings County,06031,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,1783,1.6
Lake County,06033,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,3397,6.7
Lake County,06033,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,784,1.5
Lassen County,06035,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,819,3.2
Lassen County,06035,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,189,0.7
Los Angeles County,06037,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,763490,9.8
Los Angeles County,06037,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,176198,2.3
Madera County,06039,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,8231,7.2
Madera County,06039,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,1899,1.7
