area,fips,date_start,date_end,variable,code,response,n,pct
Mariposa County,06043,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,1319,9.2
Mariposa County,06043,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,243,1.7
Mendocino County,06045,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,5235,7.7
Mendocino County,06045,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,965,1.4
Merced County,06047,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,20697,10.6
Merced County,06047,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,3814,2
Modoc County,06049,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,412,5.8
Modoc County,06049,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,76,1.1
Mono County,06051,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,1715,14.7
Mono County,06051,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,316,2.7
Monterey County,06053,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,39662,12.4
Monterey County,06053,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,7309,2.3
Napa County,06055,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,10942,10.1
Napa County,06055,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,2016,1.9
Nevada County,06057,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,6190,7.5
Nevada County,06057,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,1141,1.4
Orange County,06059,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,200701,8.2
Orange County,06059,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,36983,1.5
Placer County,06061,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,22213,7.2
Placer County,06061,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,4093,1.3
Plumas County,06063,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,1337,8.5
Plumas County,06063,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,246,1.6
Riverside County,06065,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,160015,8.7
Riverside County,06065,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,29486,1.6
Sacramento County,06067,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,94140,8
Sacramento County,06067,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,17347,1.5
San Benito County,06069,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,5780,12.5
San Benito County,06069,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,1065,2.3
San Bernardino County,06071,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,120087,7.5
San Bernardino County,06071,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,22128,1.4
San Diego County,06073,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,219246,8.4
San Diego County,06073,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,40401,1.6
San Francisco County,06075,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,65734,8.6
San Francisco County,06075,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,12113,1.6
San Joaquin County,06077,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,54985,10
San Joaquin County,06077,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,10132,1.8
San Luis Obispo County,06079,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,17583,7.6
San Luis Obispo County,06079,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,3240,1.4
San Mateo County,06081,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,46371,7.7
San Mateo County,06081,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,8545,1.4
Santa Barbara County,06083,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,27995,8.1
Santa Barbara County,06083,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,5159,1.5
Santa Clara County,06085,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,112644,7.5
Santa Clara County,06085,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,20757,1.4
Santa Cruz County,06087,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,21934,10
Santa Cruz County,06087,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,4042,1.8
Shasta County,06089,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,10642,7.5
Shasta County,06089,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,1961,1.4
Sierra County,06091,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,166,6.5
Sierra County,06091,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,31,1.2
Siskiyou County,06093,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,2488,7.2
Siskiyou County,06093,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,458,1.3
Solano County,06095,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,28683,8.3
Solano County,06095,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,5285,1.5
Sonoma County,06097,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,34069,8.6
Sonoma County,06097,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,6278,1.6
Stanislaus County,06099,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,38681,9.7
Stanislaus County,06099,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,7128,1.8
Sutter County,06101,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,7825,10.9
Sutter County,06101,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,1442,2
Tehama County,06103,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,3473,7
Tehama County,06103,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,640,1.3
Trinity County,06105,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,527,5.2
Trinity County,06105,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,97,1
Tulare County,06107,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,36155,11.3
Tulare County,06107,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,6662,2.1
Tuolumne County,06109,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,3549,7.8
Tuolumne County,06109,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,654,1.4
Ventura County,06111,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,54420,8.4
Ventura County,06111,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,10028,1.6
Yolo County,06113,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,11232,6.5
Yolo County,06113,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,2070,1.2
Yuba County,06115,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,4553,8
Yuba County,06115,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,839,1.5
Alameda County,06001,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,74564,5.6
Alameda County,06001,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,40595,3.1
Alpine County,06003,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,71,7.9
Alpine County,06003,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,39,4.4
Amador County,06005,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,1361,4
Amador County,06005,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,741,2.2
Butte County,06007,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,9679,5.5
Butte County,06007,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,5270,3
Calaveras County,06009,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,1812,4.8
Calaveras County,06009,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,987,2.6
Colusa County,06011,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,1962,12.5
Colusa County,06011,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,1068,6.8
Contra Costa County,06013,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,51456,5.8
Contra Costa County,06013,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,28014,3.2
Del Norte County,06015,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,822,3.8
Del Norte County,06015,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,447,2.1
El Dorado County,06017,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,8966,5.8
El Dorado County,06017,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,4881,3.2
Fresno County,06019,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,50691,7.1
Fresno County,06019,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,27598,3.9
Glenn County,06021,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,1214,5.8
Glenn County,06021,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,661,3.2
Humboldt County,06023,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,5703,5.2
Humboldt County,06023,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,3105,2.8
Imperial County,06025,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,13287,10.3
Imperial County,06025,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,7234,5.6
Inyo County,06027,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,742,5.1
Inyo County,06027,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,404,2.8
Kern County,06029,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,46251,7.3
Kern County,06029,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,25181,4
Kings County,06031,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,6502,5.8
Kings County,06031,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,3540,3.2
Lake County,06033,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,2859,5.6
Lake County,06033,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,1556,3
Lassen County,06035,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,689,2.7
Lassen County,06035,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,375,1.5
Los Angeles County,06037,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,642464,8.2
Los Angeles County,06037,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,349778,4.5
Madera County,06039,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,6926,6.1
Madera County,06039,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,3771,3.3
Marin County,06041,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,9486,4.6
Marin County,06041,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,5164,2.5
Mariposa County,06043,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,923,6.4
Mariposa County,06043,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,502,3.5
Mendocino County,06045,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,3661,5.4
Mendocino County,06045,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,1993,2.9
Merced County,06047,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,14473,7.4
Merced County,06047,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,7880,4
Modoc County,06049,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,288,4
Modoc County,06049,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,157,2.2
Mono County,06051,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,1199,10.2
Mono County,06051,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,653,5.6
Monterey County,06053,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,27736,8.7
Monterey County,06053,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,15100,4.7
Napa County,06055,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,7652,7.1
Napa County,06055,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,4166,3.8
Nevada County,06057,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,4329,5.3
Nevada County,06057,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,2357,2.9
Orange County,06059,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,140350,5.7
Orange County,06059,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,76411,3.1
Placer County,06061,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,15533,5
Placer County,06061,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,8457,2.7
Plumas County,06063,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,935,5.9
Plumas County,06063,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,509,3.2
Riverside County,06065,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,111898,6.1
Riverside County,06065,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,60921,3.3
Sacramento County,06067,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,65832,5.6
Sacramento County,06067,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,35841,3
San Benito County,06069,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,4042,8.7
San Benito County,06069,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,2200,4.8
San Bernardino County,06071,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,83976,5.3
San Bernardino County,06071,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,45719,2.9
San Diego County,06073,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,153318,5.9
San Diego County,06073,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,83471,3.2
San Francisco County,06075,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,45968,6
San Francisco County,06075,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,25026,3.3
San Joaquin County,06077,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,38451,7
San Joaquin County,06077,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,20934,3.8
San Luis Obispo County,06079,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,12296,5.3
San Luis Obispo County,06079,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,6694,2.9
San Mateo County,06081,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,32427,5.4
San Mateo County,06081,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,17654,2.9
Santa Barbara County,06083,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,19577,5.6
Santa Barbara County,06083,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,10658,3.1
Santa Clara County,06085,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,78771,5.3
Santa Clara County,06085,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,42885,2.9
Santa Cruz County,06087,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,15338,7
Santa Cruz County,06087,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,8351,3.8
Shasta County,06089,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,7442,5.3
Shasta County,06089,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,4052,2.9
Sierra County,06091,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,116,4.5
Sierra County,06091,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,63,2.5
Siskiyou County,06093,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,1740,5
Siskiyou County,06093,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,947,2.7
Solano County,06095,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,20058,5.8
Solano County,06095,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,10920,3.1
Sonoma County,06097,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,23825,6
Sonoma County,06097,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,12971,3.3
Stanislaus County,06099,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,27050,6.8
Stanislaus County,06099,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,14727,3.7
Sutter County,06101,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,5472,7.6
Sutter County,06101,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,2979,4.2
Tehama County,06103,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,2428,4.9
Tehama County,06103,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,1322,2.7
Trinity County,06105,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,369,3.6
Trinity County,06105,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,201,2
Tulare County,06107,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,25283,7.9
Tulare County,06107,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,13765,4.3
Tuolumne County,06109,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,2482,5.5
Tuolumne County,06109,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,1351,3
Ventura County,06111,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,38055,5.9
Ventura County,06111,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,20719,3.2
Yolo County,06113,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,7855,4.5
Yolo County,06113,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,4276,2.5
Yuba County,06115,2020-05-21,2020-05-26,curfoodsuf,3,Sometimes not enough to eat,3184,5.6
Yuba County,06115,2020-05-21,2020-05-26,curfoodsuf,4,Often not enough to eat,1733,3
Alameda County,06001,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,93900,7.1
Alameda County,06001,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,18163,1.4
Alpine County,06003,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,89,10
Alpine County,06003,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,17,1.9
Amador County,06005,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,1714,5.1
Amador County,06005,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,332,1
Butte County,06007,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,12189,7
Butte County,06007,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,2358,1.3
Calaveras County,06009,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,2282,6
Calaveras County,06009,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,441,1.2
Colusa County,06011,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,2471,15.8
Colusa County,06011,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,478,3.1
Contra Costa County,06013,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,64800,7.3
Contra Costa County,06013,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,12534,1.4
Del Norte County,06015,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,1035,4.8
Del Norte County,06015,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,200,0.9
El Dorado County,06017,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,11291,7.4
El Dorado County,06017,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,2184,1.4
Fresno County,06019,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,63837,9
Fresno County,06019,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,12348,1.7
Glenn County,06021,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,1529,7.4
Glenn County,06021,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,296,1.4
Humboldt County,06023,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,7181,6.6
Humboldt County,06023,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,1389,1.3
Imperial County,06025,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,16733,12.9
Imperial County,06025,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,3237,2.5
Inyo County,06027,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,935,6.5
Inyo County,06027,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,181,1.3
Kern County,06029,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,58246,9.1
Kern County,06029,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,11267,1.8
Kings County,06031,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,8188,7.4
Kings County,06031,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,1584,1.4
Lake County,06033,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,3600,7.1
Lake County,06033,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,696,1.4
Lassen County,06035,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,868,3.4
Lassen County,06035,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,168,0.7
Los Angeles County,06037,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,809069,10.4
Los Angeles County,06037,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,156497,2
Madera County,06039,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,8722,7.7
Madera County,06039,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,1687,1.5
Marin County,06041,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,11946,5.8
Marin County,06041,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,2311,1.1
Mariposa County,06043,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,1162,8.1
Mariposa County,06043,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,225,1.6
Mendocino County,06045,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,4610,6.8
Mendocino County,06045,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,892,1.3
Merced County,06047,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,18227,9.3
Merced County,06047,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,3526,1.8
Modoc County,06049,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,363,5.1
Modoc County,06049,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,70,1
Mono County,06051,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,1510,12.9
Mono County,06051,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,292,2.5
Monterey County,06053,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,34928,10.9
Monterey County,06053,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,6756,2.1
Napa County,06055,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,9636,8.9
Napa County,06055,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,1864,1.7
Nevada County,06057,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,5451,6.6
Nevada County,06057,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,1054,1.3
Orange County,06059,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,176746,7.2
Orange County,06059,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,34188,1.4
Placer County,06061,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,19561,6.3
Placer County,06061,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,3784,1.2
Plumas County,06063,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,1178,7.5
Plumas County,06063,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,228,1.4
Riverside County,06065,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,140916,7.7
Riverside County,06065,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,27258,1.5
Sacramento County,06067,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,82903,7
Sacramento County,06067,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,16036,1.4
San Benito County,06069,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,5090,11
San Benito County,06069,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,985,2.1
San Bernardino County,06071,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,105753,6.6
San Bernardino County,06071,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,20456,1.3
San Diego County,06073,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,193077,7.4
San Diego County,06073,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,37347,1.4
San Francisco County,06075,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,57888,7.6
San Francisco County,06075,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,11197,1.5
San Joaquin County,06077,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,48422,8.8
San Joaquin County,06077,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,9366,1.7
San Luis Obispo County,06079,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,15485,6.7
San Luis Obispo County,06079,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,2995,1.3
San Mateo County,06081,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,40836,6.7
San Mateo County,06081,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,7899,1.3
Santa Barbara County,06083,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,24654,7.1
Santa Barbara County,06083,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,4769,1.4
Santa Clara County,06085,2020-05-14,2020-05-19,curfoodsuf,3,Sometimes not enough to eat,99198,6.6
Santa Clara County,06085,2020-05-14,2020-05-19,curfoodsuf,4,Often not enough to eat,19188,1.3
